DATE,close
2025-03-07,2.93
2025-03-10,2.74
2025-03-11,2.7
2025-03-12,2.73
2025-03-13,2.51
2025-03-14,2.6
2025-03-17,2.74
2025-03-18,2.62
2025-03-19,2.68
2025-03-20,2.73
2025-03-21,2.81
2025-03-24,3.01
2025-03-25,2.72
2025-03-26,2.64
2025-03-27,2.54
2025-03-28,2.5
2025-03-31,2.87
2025-04-01,2.75
2025-04-02,2.95
2025-04-03,2.95
2025-04-04,2.57
2025-04-07,2.51
2025-04-08,2.26
2025-04-09,2.64
2025-04-10,2.6
2025-04-11,2.86
2025-04-14,2.68
2025-04-15,2.63
2025-04-16,2.53
2025-04-17,2.7
2025-04-21,2.57
2025-04-22,2.75
2025-04-23,2.82
2025-04-24,3.13
2025-04-25,3.18
2025-04-28,3.42
2025-04-29,3.42
2025-04-30,3.19
2025-05-01,3.32
2025-05-02,3.13
2025-05-05,3.01
2025-05-06,3.0
2025-05-07,2.975
2025-05-08,3.3
2025-05-09,3.37
2025-05-12,3.67
2025-05-13,4.0
2025-05-14,4.1
2025-05-15,4.15
2025-05-16,4.09
2025-05-19,4.06
2025-05-20,3.85
2025-05-21,3.71
2025-05-22,3.59
2025-05-23,3.5
2025-05-27,3.83
2025-05-28,4.08
2025-05-29,4.17
2025-05-30,4.11
2025-06-02,4.07
2025-06-03,4.13
2025-06-04,4.39
2025-06-05,4.13
2025-06-06,4.3
2025-06-09,4.4
2025-06-10,4.5
2025-06-11,4.51
2025-06-12,4.59
2025-06-13,4.58
2025-06-16,4.62
2025-06-17,3.95
2025-06-18,4.08
2025-06-20,4.26
2025-06-23,4.21
2025-06-24,4.54
2025-06-25,4.35
2025-06-26,4.5
2025-06-27,4.43
2025-06-30,4.53
2025-07-01,4.78
2025-07-02,4.7
2025-07-03,4.94
2025-07-07,4.96
2025-07-08,5.02
2025-07-09,5.12
2025-07-10,5.18
2025-07-11,5.12
2025-07-14,4.88
2025-07-15,4.78
2025-07-16,4.83
2025-07-17,5.05
2025-07-18,5.05
2025-07-21,4.95
2025-07-22,4.99
2025-07-23,5.49
2025-07-24,5.56
2025-07-25,5.71
2025-07-28,5.63
2025-07-29,5.735
2025-07-30,5.8
2025-07-31,5.71
2025-08-01,5.98
2025-08-04,6.61
2025-08-05,5.39
2025-08-06,5.22
2025-08-07,5.08
2025-08-08,4.57
2025-08-11,4.68
2025-08-12,4.81
2025-08-13,4.81
2025-08-14,4.79
2025-08-15,5.64
2025-08-18,5.93
2025-08-19,5.42
2025-08-20,5.76
2025-08-21,6.44
2025-08-22,6.45
2025-08-25,6.6
2025-08-26,6.98
2025-08-27,6.46
2025-08-28,6.59
2025-08-29,6.25
2025-09-02,6.14
2025-09-03,6.27
2025-09-04,5.99
2025-09-05,6.28
2025-09-08,6.355
2025-09-09,6.535
2025-09-10,6.34
2025-09-11,6.84
2025-09-12,7.11
2025-09-15,6.9
2025-09-16,6.93
2025-09-17,6.99
2025-09-18,7.62
2025-09-19,8.07
2025-09-22,7.58
2025-09-23,7.1
2025-09-24,7.37
2025-09-25,7.525
2025-09-26,7.21
2025-09-29,7.1
2025-09-30,7.05
2025-10-01,7.48
2025-10-02,7.41
2025-10-03,7.53
2025-10-06,7.87
2025-10-07,7.76
2025-10-08,7.93
2025-10-09,7.97
2025-10-10,7.32
2025-10-13,8.0
2025-10-14,8.17
2025-10-15,8.82
2025-10-16,9.42
2025-10-17,8.74
2025-10-20,8.745
2025-10-21,8.4
2025-10-22,7.82
2025-10-23,8.41
2025-10-24,8.825
2025-10-27,9.03
2025-10-28,8.675
2025-10-29,8.72
2025-10-30,8.605
2025-10-31,8.82
2025-11-03,8.37
2025-11-04,7.92
2025-11-05,8.54
2025-11-06,8.1
2025-11-07,8.27
2025-11-10,7.38
2025-11-11,7.44
2025-11-12,11.1
2025-11-13,11.03
2025-11-14,10.43
2025-11-17,9.6
2025-11-18,8.86
2025-11-19,9.0
2025-11-20,8.43
2025-11-21,8.5
2025-11-24,8.88
2025-11-25,9.18
2025-11-26,9.19
2025-11-28,9.43
2025-12-01,8.86
2025-12-02,9.65
2025-12-03,9.76
2025-12-04,9.75
2025-12-05,9.32
2025-12-08,9.24
2025-12-09,9.37
2025-12-10,9.32
2025-12-11,9.99
2025-12-12,9.585
2025-12-15,9.27
2025-12-16,9.57
2025-12-17,9.01
2025-12-18,9.96
2025-12-19,10.44
2025-12-22,11.48
2025-12-23,11.66
2025-12-24,11.83
2025-12-26,11.94
2025-12-29,11.96
2025-12-30,10.8
2025-12-31,10.91
2026-01-02,12.23
2026-01-05,12.5
2026-01-06,11.94
2026-01-07,12.04
2026-01-08,12.21
2026-01-09,11.9
2026-01-12,12.12
2026-01-13,12.02
2026-01-14,11.83
2026-01-15,11.625
2026-01-16,12.33
2026-01-20,11.365
2026-01-21,10.9
2026-01-22,11.5
2026-01-23,11.41
2026-01-26,10.735
2026-01-27,11.465
2026-01-28,10.94
2026-01-29,10.89
2026-01-30,10.38
2026-02-02,10.44
2026-02-03,10.35
2026-02-04,10.3
2026-02-05,9.36
2026-02-06,9.5
2026-02-09,9.64
2026-02-10,10.03
2026-02-11,9.97
2026-02-12,9.44
2026-02-13,9.49
2026-02-17,9.19
2026-02-18,8.62
2026-02-19,8.37
2026-02-20,8.19
2026-02-23,7.39
2026-02-24,7.57
2026-02-25,7.88
2026-02-26,7.74
2026-02-27,7.24
2026-03-02,7.4
2026-03-03,6.8
2026-03-04,7.415
2026-03-05,5.405
2026-03-06,4.16
2026-03-09,4.51
